projectName,position,projectHead,estimatedTime,projectDescription,fullDescription,divide
Holiday Bell Ringing,110,Jeff Baker,Multiple one-hour shifts in Nov & Dec (participant can choose days),Volunteers sign up for one hour shifts.  Stools are provided and some provisions are available for foul weather.  The project runs from the day after Thanksgiving to Christmas Eve.  Volunteer opportunities are also available for member who pick up money at the end of the day and take it to the bank.,"Helping The Salvation Army do more, MHKC raises funds to Make a Difference for Youth and Our Community by ringing the bell for the Salvation Army every holiday season.ÿ MHKC volunteers ring the bell at two local locations:ÿ King Soopers on Baptist Road and Walmart. Volunteers sign up for one-hour shifts from 10 am - 6 pm.ÿ Sunday ringing is supported by our Service Leadership Program Key Club and Builders Club students who are supervised while ringing the bell. Overall, MHKC volunteers contribute over 750 hours annually to this project.  All proceeds are donated to Salvation Army to support their mission?impacting hundreds of families and children in the area.ÿ In addition to nearly $40,000 raised annually through the generosity of area citizens, MHKC volunteers receive no compensation.ÿ Salvation Army saves nearly $7,000 annually in wages they have to pay to get bell ringers in other locations.  This event takes place on selected days from the day after Thanksgiving through Christmas Eve every year.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=76&Itemid=299"" target=""_blank"">HERE</a>",0
K-News,120,"Rich Hicks, Mark Anderson, RF Smith",Substantial investment in time,"The K-News is a weekly publication by the club that is a recap of Saturday's meeting.  Editors need minimal training in the use of Constant Contact, the online email took used by the Club for communications.",,0
North Pole at Tri-Lakes Craft Fair,130,"Jim Ward, Dick Salverson",One day in December,"Almost all volunteer work is on the night before the event and the day of the event.  Members volunteer between 2-10 hours to prepare the venue and to assist vendors with setup on Friday evening, and on Saturday to help vendors, to staff a MHKC booth, and to assist vendors and the project manager with breakdown and cleanup at the end of the day.  Volunteers are assisted by youth members of our SLP clubs.  No specific qualification are required.","Funding grants to make a difference, MHKC raises funds to enable our mission of Making a Difference for Youth and Our Community by conducting a one-day craft fair every year in December.  The North Pole Craft Fair is held at the Bear Creek Elementary School on Leather Chaps Road in Monument, Colorado. Vendors purchase space to present their wares for sale and local churches prepare baked goods for purchase by craft fair patrons.ÿ Entry is free but patrons are requested to bring a non-perishable food item that is donated to Tri-Lakes Cares.ÿ All other proceeds are used to execute the philanthropic element of the MHKC mission.ÿMHKC volunteers set up and break down the display area at Grace Best for the event and assist vendors when requested.ÿ Volunteers also provide assistance during the event to vendors or patrons who need it.ÿ MHKC volunteers contribute about 100 hours annually to this project.  This event takes place on the first Saturday of December every year.  For more info click <a href=""https://monumenthillkiwanis.org/mhk/index.php?option=com_content&view=article&id=76&Itemid=299"" target=""_blank"">HERE</a>",0
Pools,140,"Dan Lopez, Larry Young, Dennis Beasley",Moderate investment in time,"The club operates several internal (members only) NFL and NBA pools in the fall and spring of each year.  Volunteers assist the project managers with member notification, and by filing in as required on Saturdays.  Estimate volunteer hours 10-20 hours per year.","The Club operates five internal (members only) pools during the NFL season and one pool during the NCAA basketball season.
The football pools are: Sally?s Challenge, the Losers Pool, the Losers Losers Pool, the Glenn Scott Winners Pool and the Super Bowl Boards.  The first four operate during the regular NFL season, the Super Boards are initiated at the Holiday Party in December through the Super Bowl game in February.
The basketball pool, March Madness, is operated in March and uses the CBS online March Madness service.",0
Kris Kringle Coffee,150,Larry Vliet,One day in December,Volunteers assist the project manager in coordinating for production and delivery of product and sales.,The club sells coffee in the holiday season.  The coffee is especially packaged by the Serannos Coffee Company in Monument.  The Kris Kringle Coffee is branded for Serannos and the Monument Hill Kiwanis Club.  Sales take place at the Craft Fair and in other places.  Members may buy coffee at meetings and some local merchants give up counter space for sales.,0
Margarita @ Pine Creek Wine Tasting,160,"Dirk Stamp, Rich Strom",Usually one evening,"Volunteers assist the project manager in public relations, preparation for, and execution of the project and attend in support.","In the fall of each year, the proprietor of The Wine Seller in Monument works with Margarita @ Pine Creek to stage a wine tasting event in support of Monument Hill Kiwanis projects and granting.  Members may volunteer to assist with advertising and by attending the event in Club vests to provide public exposure for our Club and mission.",0
Kiwanis Board of Directors,2000,N/A,Moderate to substantial investment in time,The following are Board or Board support positions.  Each Officer or Director listed will have a committee of member volunteers to assist in performance of Board duties and responsibilities.,"This column, buttons, links or other mechanism can point to selected paragraphs from our governance that provide full descriptions of the duties and responsibilities of the officers and directors shown.",1
Assistant Secretary,2010,"Sue Reinecke, Secretary",Moderate to substantial investment in time,"Assists Secretary in recording Board meeting, publishing minutes, reporting to Kiwanis International and other monthly and annual tasks.  Estimate 10 hours/month.",,0
Assistant Treasurer,2020,"Dan Lopez, Treasurer",Usually one meeting per month,Assists Treasurer and bookkeeper at meetings by collecting and recording payments and delivering to the bank same day.  Approximately once per month at a regular Saturday meeting.  Detailed instructions available.,,0
"Vice President, Membership",2030,Bill Stoner,Moderate investment in time,"Responsible for MHKC membership, cradle to grave.  Recruits volunteers to lead acquisition, retention, recognition, social, interclub, and special needs activities.",,0
"Vice President, Youth Outreach",2040,Mike Luginbuhl,Substantial investment in time,"Responsible for all youth outreach activities.  Recruits volunteers to lead SLP, CLC and other youth activities.",,0
Deputy for Youth Outreach,2050,TBD,Substantial investment in time,"Responsible to assist the VP, Youth Outreach as assigned.  Estimate 10-30 hours/month",,0
"Director, Fundraising",2060,TBD,Substantial investment in time,Responsible for oversight of all fundraising activities of the Club.  Recruits project managers and deputies for six current fundraising projects,,0
"Director, Service Programs",2070,,Substantial investment in time,Responsible for oversight of all service activities of the Club.  Recruits project managers and deputies for five current service projects,,0
"Director, Communications",2080,Bob Harrigan,Substantial investment in time,Responsible for all internal and external communications for the Club.  Establishes website content and provides public relations support to project managers.  Provides internal communications to ensure members are aware of Club activities and needs.,,0
"Director, Programs",2090,Ed Tomlinson,Moderate investment in time,Responsible to recruit programs for Saturday meetings.,,0
"Director, Planning",2100,Larry Young,Moderate investment in time,Responsible to provide strategic assessment and guidance to the President regarding the future of Club activities.,,0
"Director, IT",2110,Mark Zeiger,Small investment in time,Responsible to maintain Club website functionality and subscriptions for various online tools used by the Club.  Assists the other Board members in implementing online functionality to improve efficiency of operation.,,0
Monument Hill Foundation,3000,Rich Strom,See below,The following are functions of the Monument Hill Foundation for which Club members may volunteer.,,1
Investment,3010,,Substantial investment in time,A small committee manages the investments of the Foundation.  Members may volunteer to act as advisors on this committee.  Committee size and structure are controlled by the Foundation Executive Director under the Foundation bylaws and policies.,,0
Granting,3020,,Usually one to two three-hour meetings,A committee assesses and recommends the annual Grants Plan to the Foundation Board for approval.  Members may volunteer to serve on this committee.  Committee size and structure are controlled by the Foundation Executive Director under the Foundation bylaws and policies.,,0
,,,,,,
,,,,,,
